"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5
7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,6
6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,7
7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6
7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,5
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6
6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7
6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6
6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,8
6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6
6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6
7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5
7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,6
6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,5
7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,6
7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5
7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,7
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2,5
6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,5
7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7
6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,6
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10,6
7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6
8.4,0.23,0.32,1.3,0.048,59,113,0.99178,3.1,0.55,11,6
7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,6
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5
6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,6
5.9,0.37,0.1,1.6,0.057,39,128,0.9924,3.24,0.48,10.1,5
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6
5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5
8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6
8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,7
7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,6
7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7
8.1,0.24,0.32,10.5,0.03,34,105,0.99407,3.11,0.42,11.8,6
